PRISM Time Series Data
Locations: 195
Climate variable: ppt
Spatial resolution: 4km
Period: 2014-07-01 - 2014-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jul-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches)
1632000,-78.8528,38.6371,1207,2014-07-01,0.00
1632000,-78.8528,38.6371,1207,2014-07-02,0.06
1632000,-78.8528,38.6371,1207,2014-07-03,0.36
1632000,-78.8528,38.6371,1207,2014-07-04,0.37
1632000,-78.8528,38.6371,1207,2014-07-05,0.00
1632000,-78.8528,38.6371,1207,2014-07-06,0.00
1632000,-78.8528,38.6371,1207,2014-07-07,0.00
1632000,-78.8528,38.6371,1207,2014-07-08,0.00
1632000,-78.8528,38.6371,1207,2014-07-09,0.13
1632000,-78.8528,38.6371,1207,2014-07-10,0.11
1632000,-78.8528,38.6371,1207,2014-07-11,0.16
1632000,-78.8528,38.6371,1207,2014-07-12,0.00
1632000,-78.8528,38.6371,1207,2014-07-13,0.14
1632000,-78.8528,38.6371,1207,2014-07-14,0.00
1632000,-78.8528,38.6371,1207,2014-07-15,0.58
1632000,-78.8528,38.6371,1207,2014-07-16,0.11
1632000,-78.8528,38.6371,1207,2014-07-17,0.00
1632000,-78.8528,38.6371,1207,2014-07-18,0.00
1632000,-78.8528,38.6371,1207,2014-07-19,0.19
1632000,-78.8528,38.6371,1207,2014-07-20,0.17
1632000,-78.8528,38.6371,1207,2014-07-21,0.00
1632000,-78.8528,38.6371,1207,2014-07-22,0.16
1632000,-78.8528,38.6371,1207,2014-07-23,0.00
1632000,-78.8528,38.6371,1207,2014-07-24,0.38
1632000,-78.8528,38.6371,1207,2014-07-25,0.42
1632000,-78.8528,38.6371,1207,2014-07-26,0.00
1632000,-78.8528,38.6371,1207,2014-07-27,1.29
1632000,-78.8528,38.6371,1207,2014-07-28,0.21
1632000,-78.8528,38.6371,1207,2014-07-29,0.00
1632000,-78.8528,38.6371,1207,2014-07-30,0.00
1632000,-78.8528,38.6371,1207,2014-07-31,0.00
1632000,-78.8528,38.6371,1207,2014-08-01,0.00
1632000,-78.8528,38.6371,1207,2014-08-02,0.03
1632000,-78.8528,38.6371,1207,2014-08-03,0.00
1632000,-78.8528,38.6371,1207,2014-08-04,0.00
1632000,-78.8528,38.6371,1207,2014-08-05,0.00
1632000,-78.8528,38.6371,1207,2014-08-06,0.04
1632000,-78.8528,38.6371,1207,2014-08-07,0.13
1632000,-78.8528,38.6371,1207,2014-08-08,0.00
1632000,-78.8528,38.6371,1207,2014-08-09,0.00
1632000,-78.8528,38.6371,1207,2014-08-10,0.00
1632000,-78.8528,38.6371,1207,2014-08-11,0.00
1632000,-78.8528,38.6371,1207,2014-08-12,0.41
1632000,-78.8528,38.6371,1207,2014-08-13,1.36
1632000,-78.8528,38.6371,1207,2014-08-14,0.00
1632000,-78.8528,38.6371,1207,2014-08-15,0.00
1632000,-78.8528,38.6371,1207,2014-08-16,0.00
1632000,-78.8528,38.6371,1207,2014-08-17,0.00
1632000,-78.8528,38.6371,1207,2014-08-18,0.00
1632000,-78.8528,38.6371,1207,2014-08-19,0.00
1632000,-78.8528,38.6371,1207,2014-08-20,0.01
1632000,-78.8528,38.6371,1207,2014-08-21,0.10
1632000,-78.8528,38.6371,1207,2014-08-22,0.03
1632000,-78.8528,38.6371,1207,2014-08-23,0.22
1632000,-78.8528,38.6371,1207,2014-08-24,0.56
1632000,-78.8528,38.6371,1207,2014-08-25,0.00
1632000,-78.8528,38.6371,1207,2014-08-26,0.00
1632000,-78.8528,38.6371,1207,2014-08-27,0.00
1632000,-78.8528,38.6371,1207,2014-08-28,0.00
1632000,-78.8528,38.6371,1207,2014-08-29,0.00
1632000,-78.8528,38.6371,1207,2014-08-30,0.00
1632000,-78.8528,38.6371,1207,2014-08-31,0.00
1632000,-78.8528,38.6371,1207,2014-09-01,0.21
1632000,-78.8528,38.6371,1207,2014-09-02,0.00
1632000,-78.8528,38.6371,1207,2014-09-03,0.14
1632000,-78.8528,38.6371,1207,2014-09-04,0.00
1632000,-78.8528,38.6371,1207,2014-09-05,0.02
1632000,-78.8528,38.6371,1207,2014-09-06,0.02
1632000,-78.8528,38.6371,1207,2014-09-07,0.18
1632000,-78.8528,38.6371,1207,2014-09-08,0.00
1632000,-78.8528,38.6371,1207,2014-09-09,0.23
1632000,-78.8528,38.6371,1207,2014-09-10,0.00
1632000,-78.8528,38.6371,1207,2014-09-11,0.00
1632000,-78.8528,38.6371,1207,2014-09-12,0.00
1632000,-78.8528,38.6371,1207,2014-09-13,0.00
1632000,-78.8528,38.6371,1207,2014-09-14,0.07
1632000,-78.8528,38.6371,1207,2014-09-15,0.00
1632000,-78.8528,38.6371,1207,2014-09-16,0.00
1632000,-78.8528,38.6371,1207,2014-09-17,0.00
1632000,-78.8528,38.6371,1207,2014-09-18,0.00
1632000,-78.8528,38.6371,1207,2014-09-19,0.00
1632000,-78.8528,38.6371,1207,2014-09-20,0.00
1632000,-78.8528,38.6371,1207,2014-09-21,0.00
1632000,-78.8528,38.6371,1207,2014-09-22,0.00
1632000,-78.8528,38.6371,1207,2014-09-23,0.00
1632000,-78.8528,38.6371,1207,2014-09-24,0.00
1632000,-78.8528,38.6371,1207,2014-09-25,0.00
1632000,-78.8528,38.6371,1207,2014-09-26,0.00
1632000,-78.8528,38.6371,1207,2014-09-27,0.00
1632000,-78.8528,38.6371,1207,2014-09-28,0.00
1632000,-78.8528,38.6371,1207,2014-09-29,0.00
1632000,-78.8528,38.6371,1207,2014-09-30,0.00
1632000,-78.8528,38.6371,1207,2014-10-01,0.16
1632000,-78.8528,38.6371,1207,2014-10-02,0.00
1632000,-78.8528,38.6371,1207,2014-10-03,0.00
1632000,-78.8528,38.6371,1207,2014-10-04,0.03
1632000,-78.8528,38.6371,1207,2014-10-05,0.01
1632000,-78.8528,38.6371,1207,2014-10-06,0.00
1632000,-78.8528,38.6371,1207,2014-10-07,0.22
1632000,-78.8528,38.6371,1207,2014-10-08,0.18
1632000,-78.8528,38.6371,1207,2014-10-09,0.00
1632000,-78.8528,38.6371,1207,2014-10-10,0.04
1632000,-78.8528,38.6371,1207,2014-10-11,0.44
1632000,-78.8528,38.6371,1207,2014-10-12,0.02
1632000,-78.8528,38.6371,1207,2014-10-13,0.10
1632000,-78.8528,38.6371,1207,2014-10-14,0.28
