PRISM Time Series Data
Locations: 500
Climate variable: ppt
Spatial resolution: 4km
Period: 2010-01-01 - 2010-06-30
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jul-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches)
1367690,-74.5596,41.1053,1056,2010-01-01,0.30
1367690,-74.5596,41.1053,1056,2010-01-02,0.00
1367690,-74.5596,41.1053,1056,2010-01-03,0.00
1367690,-74.5596,41.1053,1056,2010-01-04,0.02
1367690,-74.5596,41.1053,1056,2010-01-05,0.00
1367690,-74.5596,41.1053,1056,2010-01-06,0.00
1367690,-74.5596,41.1053,1056,2010-01-07,0.00
1367690,-74.5596,41.1053,1056,2010-01-08,0.06
1367690,-74.5596,41.1053,1056,2010-01-09,0.00
1367690,-74.5596,41.1053,1056,2010-01-10,0.00
1367690,-74.5596,41.1053,1056,2010-01-11,0.00
1367690,-74.5596,41.1053,1056,2010-01-12,0.00
1367690,-74.5596,41.1053,1056,2010-01-13,0.00
1367690,-74.5596,41.1053,1056,2010-01-14,0.00
1367690,-74.5596,41.1053,1056,2010-01-15,0.00
1367690,-74.5596,41.1053,1056,2010-01-16,0.00
1367690,-74.5596,41.1053,1056,2010-01-17,0.00
1367690,-74.5596,41.1053,1056,2010-01-18,0.56
1367690,-74.5596,41.1053,1056,2010-01-19,0.00
1367690,-74.5596,41.1053,1056,2010-01-20,0.00
1367690,-74.5596,41.1053,1056,2010-01-21,0.00
1367690,-74.5596,41.1053,1056,2010-01-22,0.00
1367690,-74.5596,41.1053,1056,2010-01-23,0.00
1367690,-74.5596,41.1053,1056,2010-01-24,0.00
1367690,-74.5596,41.1053,1056,2010-01-25,0.61
1367690,-74.5596,41.1053,1056,2010-01-26,1.73
1367690,-74.5596,41.1053,1056,2010-01-27,0.00
1367690,-74.5596,41.1053,1056,2010-01-28,0.01
1367690,-74.5596,41.1053,1056,2010-01-29,0.06
1367690,-74.5596,41.1053,1056,2010-01-30,0.00
1367690,-74.5596,41.1053,1056,2010-01-31,0.00
1367690,-74.5596,41.1053,1056,2010-02-01,0.00
1367690,-74.5596,41.1053,1056,2010-02-02,0.00
1367690,-74.5596,41.1053,1056,2010-02-03,0.14
1367690,-74.5596,41.1053,1056,2010-02-04,0.00
1367690,-74.5596,41.1053,1056,2010-02-05,0.00
1367690,-74.5596,41.1053,1056,2010-02-06,0.02
1367690,-74.5596,41.1053,1056,2010-02-07,0.00
1367690,-74.5596,41.1053,1056,2010-02-08,0.00
1367690,-74.5596,41.1053,1056,2010-02-09,0.00
1367690,-74.5596,41.1053,1056,2010-02-10,0.12
1367690,-74.5596,41.1053,1056,2010-02-11,0.65
1367690,-74.5596,41.1053,1056,2010-02-12,0.00
1367690,-74.5596,41.1053,1056,2010-02-13,0.00
1367690,-74.5596,41.1053,1056,2010-02-14,0.00
1367690,-74.5596,41.1053,1056,2010-02-15,0.00
1367690,-74.5596,41.1053,1056,2010-02-16,0.04
1367690,-74.5596,41.1053,1056,2010-02-17,0.20
1367690,-74.5596,41.1053,1056,2010-02-18,0.00
1367690,-74.5596,41.1053,1056,2010-02-19,0.00
